Facility ID,State,Hospital Type,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating
54146,CA,Psychiatric,Proprietary,Proprietary,,Not Available
54147,CA,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
54148,CA,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
54149,CA,Psychiatric,Proprietary,Proprietary,,Not Available
54150,CA,Psychiatric,Proprietary,Proprietary,,Not Available
54151,CA,Psychiatric,Proprietary,Proprietary,,Not Available
54152,CA,Psychiatric,Proprietary,Proprietary,,Not Available
54153,CA,Psychiatric,Proprietary,Proprietary,,Not Available
54154,CA,Psychiatric,Proprietary,Proprietary,,Not Available
54155,CA,Psychiatric,Proprietary,Proprietary,,Not Available
54157,CA,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
60001,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
60003,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60004,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
60006,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60008,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
60009,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60010,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
60011,CO,Acute Care,Government - State,Government , State,3
60012,CO,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,2
60013,CO,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,5
60014,CO,Acute Care,Government - State,Government , State,3
60015,CO,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
60020,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
60022,CO,Acute Care,Government - Local,Government , Local,3
60023,CO,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
60024,CO,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,5
60027,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60028,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
60030,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60031,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
60032,CO,Acute Care,Proprietary,Proprietary,,4
60034,CO,Acute Care,Proprietary,Proprietary,,4
06003F,CO,Acute Care,Department of Defense,Government ,Department of Defense,Not Available
60044,CO,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
60049,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60054,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
06005F,CO,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,5
60064,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
60065,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
60071,CO,Acute Care,Government - Local,Government , Local,3
60075,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60076,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
06007F,CO,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,5
60096,CO,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,5
60100,CO,Acute Care,Proprietary,Proprietary,,4
60103,CO,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,5
60104,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60107,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
60112,CO,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,5
60113,CO,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
60114,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
60116,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
60117,CO,Acute Care,Proprietary,Proprietary,,Not Available
60118,CO,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,5
60119,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
60124,CO,Acute Care,Proprietary,Proprietary,,Not Available
60125,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
60126,CO,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
60128,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60129,CO,Acute Care,Proprietary,Proprietary,,3
60130,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
60131,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
60132,CO,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
61300,CO,Critical Access Hospitals,Government - Local,Government , Local,Not Available
61301,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,5
61302,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
61303,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
61304,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61305,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61306,CO,Critical Access Hospitals,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
61307,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61308,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
61309,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61310,CO,Critical Access Hospitals,Government - Local,Government , Local,Not Available
61311,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61312,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61313,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61314,CO,Critical Access Hospitals,Government - Local,Government , Local,Not Available
61315,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61316,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61317,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61318,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61319,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61320,CO,Critical Access Hospitals,Government - Local,Government , Local,Not Available
61321,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
61322,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,3
61323,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61324,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61325,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61326,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
61327,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,1
61328,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61336,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
61343,CO,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
61344,CO,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,3
63301,CO,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
63303,CO,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
64001,CO,Psychiatric,Government - State,Government , State,Not Available
64003,CO,Psychiatric,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
64007,CO,Psychiatric,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
64009,CO,Psychiatric,Proprietary,Proprietary,,Not Available
64023,CO,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
64024,CO,Psychiatric,Proprietary,Proprietary,,Not Available
64026,CO,Psychiatric,Proprietary,Proprietary,,Not Available
64028,CO,Psychiatric,Proprietary,Proprietary,,Not Available
64029,CO,Psychiatric,Proprietary,Proprietary,,Not Available
70002,CT,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
70003,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
70004,CT,Acute Care,Proprietary,Proprietary,,5
70005,CT,Acute Care,Proprietary,Proprietary,,3
70006,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
70007,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
70008,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
70010,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
70011,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
70012,CT,Acute Care,Proprietary,Proprietary,,4
70016,CT,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
70017,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
70018,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
70020,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
70021,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
70022,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
70024,CT,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
70025,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
70027,CT,Acute Care,Proprietary,Proprietary,,3
70028,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
70029,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
70031,CT,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,5
70033,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
70034,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
70035,CT,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
70036,CT,Acute Care,Government - Local,Government , Local,3
70038,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
70039,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
07003F,CT,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,4
70040,CT,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
73300,CT,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
74003,CT,Psychiatric,Government - State,Government , State,Not Available
74008,CT,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
74011,CT,Psychiatric,Government - State,Government , State,Not Available
74012,CT,Psychiatric,Government - State,Government , State,Not Available
74014,CT,Psychiatric,Government - Federal,Government , Federal,Not Available
74015,CT,Psychiatric,Government - State,Government , State,Not Available
80001,DE,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
80003,DE,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
80004,DE,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
80006,DE,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
80007,DE,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
80009,DE,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
08002F,DE,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,3
83300,DE,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
84001,DE,Psychiatric,Government - State,Government , State,Not Available
84002,DE,Psychiatric,Proprietary,Proprietary,,Not Available
84003,DE,Psychiatric,Proprietary,Proprietary,,Not Available
84004,DE,Psychiatric,Proprietary,Proprietary,,Not Available
84005,DE,Psychiatric,Proprietary,Proprietary,,Not Available
90001,DC,Acute Care,Proprietary,Proprietary,,2
90003,DC,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,1
90004,DC,Acute Care,Proprietary,Proprietary,,3
90005,DC,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
90008,DC,Acute Care,Proprietary,Proprietary,,3
90011,DC,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,3
09002F,DC,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,2
93300,DC,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
94001,DC,Psychiatric,Government - State,Government , State,Not Available
94004,DC,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
100001,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100002,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100006,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100007,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100008,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100012,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,5
100014,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
100017,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
100018,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100019,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100022,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,1
100023,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
100025,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100026,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100028,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
100029,FL,Acute Care,Proprietary,Proprietary,,1
100030,FL,Acute Care,Government - State,Government , State,2
100032,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
100034,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100035,FL,Acute Care,Proprietary,Proprietary,,1
100038,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
100039,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,1
100040,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100043,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
100044,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100045,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
100046,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
100047,FL,Acute Care,Proprietary,Proprietary,,2
100048,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
100049,FL,Acute Care,Proprietary,Proprietary,,1
100050,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
100051,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
100052,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100053,FL,Acute Care,Proprietary,Proprietary,,1
100054,FL,Acute Care,Proprietary,Proprietary,,4
100055,FL,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
100057,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
100062,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
100063,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100067,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
100068,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,5
100069,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
100070,FL,Acute Care,Proprietary,Proprietary,,1
100071,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,2
100072,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
100073,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
100075,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,4
100077,FL,Acute Care,Proprietary,Proprietary,,1
100080,FL,Acute Care,Proprietary,Proprietary,,1
100081,FL,Acute Care,Proprietary,Proprietary,,3
100084,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
100086,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,2
100087,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,5
100088,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100090,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100092,FL,Acute Care,Proprietary,Proprietary,,3
100093,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100099,FL,Acute Care,Proprietary,Proprietary,,2
10009F,FL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,1
100105,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100106,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100107,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100109,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100110,FL,Acute Care,Proprietary,Proprietary,,2
100113,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100117,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100118,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,3
100121,FL,Acute Care,Proprietary,Proprietary,,4
100122,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100124,FL,Acute Care,Proprietary,Proprietary,,4
100125,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100126,FL,Acute Care,Proprietary,Proprietary,,4
100127,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100128,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100130,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
100131,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100132,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100134,FL,Acute Care,Voluntary non-profit - Church,Voluntary non-profit,Church,2
100135,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
100137,FL,Acute Care,Proprietary,Proprietary,,1
10013F,FL,Acute Care,Department of Defense,Government ,Department of Defense,Not Available
100140,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
100142,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,1
100150,FL,Acute Care,Proprietary,Proprietary,,4
100151,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
100154,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100156,FL,Acute Care,Proprietary,Proprietary,,3
100157,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
10015F,FL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,Not Available
100161,FL,Acute Care,Proprietary,Proprietary,,2
100166,FL,Acute Care,Proprietary,Proprietary,,4
100167,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100168,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100173,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100175,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100176,FL,Acute Care,Proprietary,Proprietary,,1
100177,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
100179,FL,Acute Care,Proprietary,Proprietary,,2
100180,FL,Acute Care,Proprietary,Proprietary,,3
100181,FL,Acute Care,Proprietary,Proprietary,,Not Available
100183,FL,Acute Care,Proprietary,Proprietary,,4
100187,FL,Acute Care,Proprietary,Proprietary,,2
100189,FL,Acute Care,Proprietary,Proprietary,,1
100191,FL,Acute Care,Proprietary,Proprietary,,3
100200,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
100204,FL,Acute Care,Proprietary,Proprietary,,2
100206,FL,Acute Care,Proprietary,Proprietary,,3
100209,FL,Acute Care,Proprietary,Proprietary,,2
100211,FL,Acute Care,Proprietary,Proprietary,,3
100212,FL,Acute Care,Proprietary,Proprietary,,2
100213,FL,Acute Care,Proprietary,Proprietary,,1
100217,FL,Acute Care,Proprietary,Proprietary,,2
10021F,FL,Acute Care,Department of Defense,Government ,Department of Defense,Not Available
100220,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,4
100223,FL,Acute Care,Proprietary,Proprietary,,4
100224,FL,Acute Care,Proprietary,Proprietary,,1
100226,FL,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,2
100228,FL,Acute Care,Proprietary,Proprietary,,2
100230,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
100231,FL,Acute Care,Proprietary,Proprietary,,3
100232,FL,Acute Care,Proprietary,Proprietary,,2
100236,FL,Acute Care,Proprietary,Proprietary,,1
100238,FL,Acute Care,Proprietary,Proprietary,,1
100242,FL,Acute Care,Proprietary,Proprietary,,3
100243,FL,Acute Care,Proprietary,Proprietary,,3
100244,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,4
100246,FL,Acute Care,Proprietary,Proprietary,,1
100248,FL,Acute Care,Proprietary,Proprietary,,2
100249,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,2
100252,FL,Acute Care,Proprietary,Proprietary,,3
100253,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100254,FL,Acute Care,Proprietary,Proprietary,,1
100256,FL,Acute Care,Proprietary,Proprietary,,1
100258,FL,Acute Care,Proprietary,Proprietary,,2
100259,FL,Acute Care,Proprietary,Proprietary,,2
100260,FL,Acute Care,Proprietary,Proprietary,,1
100264,FL,Acute Care,Proprietary,Proprietary,,2
100265,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
100266,FL,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,5
100267,FL,Acute Care,Proprietary,Proprietary,,3
100268,FL,Acute Care,Proprietary,Proprietary,,2
100269,FL,Acute Care,Proprietary,Proprietary,,2
100275,FL,Acute Care,Proprietary,Proprietary,,1
100276,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
100277,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
100281,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,3
100284,FL,Acute Care,Proprietary,Proprietary,,1
100285,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,4
100286,FL,Acute Care,Proprietary,Proprietary,,2
100287,FL,Acute Care,Proprietary,Proprietary,,1
100288,FL,Acute Care,Proprietary,Proprietary,,2
100289,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100290,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,1
100291,FL,Acute Care,Proprietary,Proprietary,,2
100292,FL,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
100296,FL,Acute Care,Voluntary non-profit - Other,Voluntary non-profit,Other,4
100298,FL,Acute Care,Government - State,Government , State,Not Available
100299,FL,Acute Care,Proprietary,Proprietary,,4
100302,FL,Acute Care,Proprietary,Proprietary,,1
100307,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100313,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
100314,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,4
100315,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
100316,FL,Acute Care,Proprietary,Proprietary,,4
100319,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,5
100320,FL,Acute Care,Proprietary,Proprietary,,2
100321,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,3
100329,FL,Acute Care,Proprietary,Proprietary,,2
100330,FL,Acute Care,Government - Local,Government , Local,Not Available
100350,FL,Acute Care,Proprietary,Proprietary,,Not Available
100359,FL,Acute Care,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
100360,FL,Acute Care,Proprietary,Proprietary,,Not Available
100361,FL,Acute Care,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
10057F,FL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,2
10063F,FL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,3
10064F,FL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,4
10065F,FL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,1
10099F,FL,Acute Care,Veterans Health Administration,Government ,Veterans Health Adminstration,3
101300,FL,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
101303,FL,Critical Access Hospitals,Proprietary,Proprietary,,Not Available
101304,FL,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
101305,FL,Critical Access Hospitals,Government - Local,Government , Local,Not Available
101307,FL,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
101308,FL,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
101309,FL,Critical Access Hospitals,Voluntary non-profit - Other,Voluntary non-profit,Other,Not Available
101311,FL,Critical Access Hospitals,Government - Hospital District or Authority,Government , Hospital District or Authority,Not Available
101312,FL,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
101313,FL,Critical Access Hospitals,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
103300,FL,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
103301,FL,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
103304,FL,Childrens,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
104001,FL,Psychiatric,Government - State,Government , State,Not Available
104016,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104017,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104018,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104024,FL,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
104026,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104040,FL,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
104049,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104057,FL,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
104059,FL,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
104063,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104067,FL,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
104069,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104070,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104071,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104072,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104073,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104074,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104075,FL,Psychiatric,Proprietary,Proprietary,,Not Available
104076,FL,Psychiatric,Voluntary non-profit - Private,Voluntary non-profit,Private,Not Available
104078,FL,Psychiatric,Proprietary,Proprietary,,Not Available
